Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
A.J. Green,CIN,WR,153.0,15,10.2,10.1,18.4,2.9,12.4,15.0,11.1,,12.3,8.3,10.3,,11.0,16.2,5.9,11.5,5.0,2.6
Matt Moore,MIA,QB,152.5,13,11.7,,,,4.6,,4.2,9.8,12.6,22.1,5.8,18.6,13.8,18.7,3.9,14.7,18.4,5.3
Laurent Robinson,DAL,WR,151.8,14,10.8,,,4.9,11.6,,4.3,2.5,16.3,9.2,19.3,9.4,19.9,7.2,19.7,8.9,0.5,18.1
Willis McGahee,DEN,RB,151.0,15,10.1,3.5,16.6,11.4,11.3,14.5,,5.6,,28.3,1.7,-0.2,11.7,15.1,3.6,7.0,6.4,14.5
Nate Washington,TEN,WR,150.8,16,9.4,6.7,9.9,15.2,6.2,6.9,,1.0,15.7,2.8,4.2,23.5,1.2,4.0,19.0,12.2,7.1,15.2
Mike Tolbert,LAC,RB,150.3,15,10.0,27.3,6.3,4.3,12.8,4.9,,11.8,,20.2,7.3,3.8,6.3,8.4,8.1,11.8,3.9,13.1
Dan Bailey,DAL,K,149.0,16,9.3,6.0,10.0,21.0,13.0,,11.0,12.0,1.0,12.0,15.0,9.0,8.0,9.0,12.0,7.0,1.0,2.0
Greg Jennings,GB,WR,148.9,13,11.5,14.9,11.5,11.9,16.3,14.2,8.2,20.7,,10.6,9.2,0.6,13.4,15.4,2.0,,,
BenJarvus Green-Ellis,NE,RB,148.6,16,9.3,9.4,13.5,1.8,14.4,26.9,6.9,,0.9,6.3,0.8,10.6,16.4,7.4,1.9,10.9,1.0,19.5
Julio Jones,ATL,WR,147.5,13,11.4,7.1,2.9,10.6,12.7,3.3,,,,28.4,0.9,,0.0,6.8,22.4,15.1,16.8,20.5
Jonathan Stewart,CAR,RB,147.4,16,9.2,4.0,10.5,8.5,8.5,3.3,13.2,12.8,5.9,,4.5,10.9,8.2,15.9,5.6,5.1,15.9,14.6
Dwayne Bowe,KC,WR,147.1,16,9.2,1.7,11.3,12.7,16.7,24.8,,7.6,6.2,8.8,1.7,8.7,6.9,4.9,6.9,4.9,14.0,9.3
Rex Grossman,WAS,QB,147.1,13,11.3,18.2,15.1,10.6,5.9,,-2.3,,,,4.6,24.7,16.5,4.8,14.1,7.3,15.4,12.2
Mason Crosby,GB,K,147.0,16,9.2,6.0,12.0,9.0,7.0,15.0,6.0,18.0,,10.0,9.0,5.0,9.0,8.0,17.0,2.0,5.0,9.0
Cedric Benson,CIN,RB,146.9,15,9.8,18.3,7.6,6.4,10.4,5.3,12.2,,,7.8,6.2,16.1,19.0,5.2,9.1,14.7,2.5,6.1
Mike Nugent,CIN,K,146.0,16,9.1,10.0,11.0,6.0,12.0,7.0,10.0,,11.0,6.0,6.0,6.0,12.0,1.0,15.0,9.0,12.0,12.0
Dez Bryant,DAL,WR,145.3,15,9.7,13.1,,6.3,16.2,,7.8,15.0,2.8,5.6,13.4,12.8,3.5,14.6,11.0,10.0,6.2,7.0
Philadelphia Eagles,PHI,DST,145.0,16,9.1,17.0,4.0,2.0,6.0,3.0,14.0,,10.0,9.0,14.0,11.0,-3.0,3.0,21.0,19.0,7.0,8.0
New York Jets,NYJ,DST,144.0,16,9.0,17.0,19.0,0.0,15.0,5.0,23.0,6.0,,10.0,1.0,7.0,3.0,9.0,13.0,7.0,3.0,6.0
Steve Johnson,BUF,WR,142.4,16,8.9,12.6,15.6,15.4,5.8,2.9,9.9,,5.7,8.4,0.8,1.6,13.5,11.2,11.6,8.2,9.2,10.0
Rob Bironas,TEN,K,142.0,16,8.9,2.0,15.0,6.0,7.0,5.0,,1.0,13.0,6.0,13.0,6.0,13.0,13.0,6.0,9.0,15.0,12.0
DeAngelo Williams,CAR,RB,139.1,16,8.7,3.6,3.6,3.5,8.2,17.5,4.6,3.5,3.9,,3.5,10.5,18.9,2.9,15.1,12.1,20.4,7.3
Green Bay Packers,GB,DST,138.0,16,8.6,4.0,12.0,8.0,15.0,6.0,12.0,6.0,,16.0,9.0,6.0,8.0,7.0,18.0,1.0,4.0,6.0
Robbie Gould,CHI,K,138.0,16,8.6,13.0,8.0,5.0,10.0,9.0,15.0,6.0,,14.0,16.0,8.0,11.0,3.0,6.0,2.0,7.0,5.0
Jay Cutler,CHI,QB,136.3,10,13.6,18.5,13.0,17.2,2.3,14.3,16.7,8.9,,16.3,4.7,24.4,,,,,,
Carson Palmer,LV,QB,136.2,10,13.6,,,,,,,-1.4,,19.6,15.2,17.1,10.0,17.1,7.1,18.7,9.5,23.3
New England Patriots,NE,DST,136.0,16,8.5,6.0,10.0,3.0,5.0,2.0,7.0,,7.0,4.0,18.0,16.0,5.0,6.0,12.0,10.0,9.0,16.0
Aaron Hernandez,NE,TE,135.5,14,9.7,16.3,12.2,,,5.6,10.8,,7.1,9.5,4.1,4.4,6.2,4.3,8.4,20.5,3.7,22.4
Houston Texans,HOU,DST,135.0,16,8.4,11.0,11.0,2.0,12.0,5.0,5.0,16.0,6.0,12.0,16.0,,13.0,8.0,6.0,1.0,6.0,5.0
Matt Bryant,ATL,K,135.0,16,8.4,7.0,5.0,7.0,16.0,2.0,7.0,13.0,,7.0,11.0,11.0,6.0,4.0,7.0,11.0,12.0,9.0
Graham Gano,WAS,K,134.0,16,8.4,4.0,10.0,13.0,5.0,,9.0,9.0,0.0,5.0,10.0,7.0,5.0,15.0,9.0,12.0,17.0,4.0
Pierre Thomas,NO,RB,132.7,16,8.3,6.8,5.5,4.3,7.9,10.2,-0.4,12.5,9.4,15.1,3.8,,17.0,2.1,5.7,14.5,11.7,6.6
Billy Cundiff,BAL,K,131.0,15,8.7,9.0,8.0,13.0,10.0,,20.0,1.0,13.0,14.0,5.0,7.0,10.0,6.0,6.0,2.0,,7.0
Torrey Smith,BAL,WR,130.0,16,8.1,0.0,0.0,34.2,0.1,,8.4,3.2,5.7,13.1,4.4,22.5,2.3,2.9,12.4,13.7,3.8,3.3
Buffalo Bills,BUF,DST,130.0,16,8.1,12.0,0.0,13.0,12.0,16.0,1.0,,25.0,5.0,-4.0,2.0,3.0,1.0,10.0,7.0,25.0,2.0
Tony Gonzalez,ATL,TE,129.5,16,8.1,7.2,20.3,7.8,11.6,6.0,2.9,6.2,,9.6,13.1,13.4,6.9,10.0,8.2,1.4,4.1,0.8
Pierre Garcon,IND,WR,129.5,16,8.1,3.9,2.8,8.2,26.6,24.5,3.2,3.1,6.6,2.2,4.8,,3.6,27.0,4.6,1.2,5.0,2.2
