Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Dan Carpenter,BUF,K,103.0,16,6.4,1.0,7.0,10.0,12.0,6.0,10.0,5.0,5.0,5.0,,12.0,2.0,6.0,2.0,9.0,7.0,4.0
Giovani Bernard,CIN,RB,102.8,10,10.3,4.0,20.2,6.9,5.7,12.6,11.4,15.2,13.1,,5.1,8.6,,,,,,
Gary Barnidge,CLE,TE,102.7,16,6.4,0.0,5.7,11.1,9.2,10.1,7.4,9.6,5.7,3.8,1.3,9.3,1.6,,4.2,4.5,6.7,12.5
Eli Rogers,PIT,WR,102.0,13,7.9,14.9,1.4,4.2,,,5.5,,,13.3,12.2,4.0,4.6,2.3,3.5,16.0,11.0,9.1
Roberto Aguayo,TB,K,102.0,16,6.4,8.0,1.0,2.0,1.0,9.0,,10.0,5.0,2.0,10.0,14.0,2.0,8.0,11.0,8.0,6.0,5.0
Jalen Richard,LV,RB,101.0,16,6.3,16.5,3.2,4.6,2.5,12.7,2.2,0.6,4.7,8.2,,12.7,2.3,5.3,2.9,6.9,15.4,0.3
Green Bay Packers,GB,DST,100.0,16,6.3,5.0,7.0,5.0,,7.0,5.0,12.0,1.0,5.0,-3.0,-2.0,10.0,8.0,19.0,9.0,8.0,4.0
Derrick Henry,TEN,RB,99.2,15,6.6,5.4,5.4,4.5,0.9,5.4,3.7,0.3,17.7,,3.1,0.0,12.0,,5.2,17.8,4.5,13.3
William Fuller V,HOU,WR,98.7,14,7.1,19.2,12.4,4.6,17.6,0.9,,4.2,2.8,,,2.2,8.0,8.4,3.2,5.9,5.4,3.9
Michael Floyd,Multi,WR,97.3,15,6.5,7.6,7.8,8.5,11.1,0.0,9.2,9.0,0.0,,12.6,3.1,4.1,9.3,2.8,,1.1,11.1
Tyler Boyd,CIN,WR,97.1,16,6.1,3.4,8.8,3.3,1.5,4.8,9.9,0.8,6.6,,2.2,14.4,8.7,8.6,11.9,2.3,3.5,6.4
Mike Nugent,CIN,K,97.0,13,7.5,12.0,10.0,5.0,19.0,2.0,5.0,7.0,3.0,,8.0,0.0,6.0,14.0,6.0,,,
Zach Miller,CHI,TE,96.1,10,9.6,2.9,5.3,23.8,10.6,10.8,6.6,5.0,12.3,,5.2,13.6,,,,,,
Dwayne Allen,IND,TE,96.1,14,6.9,15.3,3.5,5.0,3.0,14.0,1.4,,,2.0,,0.0,7.4,27.2,0.0,1.8,4.6,10.9
Phil Dawson,SF,K,96.0,16,6.0,4.0,9.0,4.0,5.0,3.0,12.0,5.0,,14.0,11.0,5.0,6.0,6.0,6.0,1.0,2.0,3.0
Robert Turbin,IND,RB,95.3,15,6.4,2.9,7.0,6.9,1.5,,4.4,2.7,4.9,3.3,,6.4,2.8,7.6,6.3,18.4,9.9,10.3
Brian Quick,LAR,WR,94.9,16,5.9,3.8,1.3,12.3,19.9,6.6,8.6,11.2,,6.8,2.6,3.6,0.8,7.3,1.5,6.1,0.0,2.5
C.J. Anderson,DEN,RB,94.5,7,13.5,27.9,16.8,4.6,11.7,7.7,9.1,16.7,,,,,,,,,,
Shaun Draughn,SF,RB,94.4,16,5.9,8.6,2.1,1.7,1.3,-0.1,0.2,13.8,,0.0,0.0,11.8,7.9,2.0,9.2,1.5,9.5,24.9
Las Vegas Raiders,LV,DST,94.0,16,5.9,2.0,-1.0,11.0,4.0,9.0,1.0,8.0,2.0,7.0,,7.0,12.0,8.0,7.0,9.0,6.0,2.0
Robbie Anderson,NYJ,WR,93.9,16,5.9,0.0,0.0,4.4,2.2,1.5,4.4,8.6,4.6,6.9,8.4,,2.4,14.1,14.1,16.0,0.0,6.3
Robert Woods,BUF,WR,93.4,13,7.2,4.0,1.5,8.1,12.4,3.6,13.5,,7.0,21.2,,5.6,,,3.4,1.0,5.8,6.3
